# STABLE DIAGNOSTIC CODE REGISTRY — GI-12. TAB-separated, appended to, never rewritten.
#
# WHAT A ROW IS. `code` names a SEMANTIC REJECTION CONDITION: the language rule
# this compiler enforces. Not a variant, not a construction site, not the
# sentence it currently prints. That is what makes a `code=PD####` pin survive a
# rewording and a refactor, which is the entire purchase of this file.
#
# THE COLUMNS, AND WHY IDENTITY AND EVIDENCE ARE SEPARATED (spec R12).
#   code               PD then exactly four digits. Allocated monotonically and
#                      MEANINGLESS — no family bands, because a band invites
#                      renumbering and renumbering is the one thing a stable code
#                      may not do. Nothing may read arithmetic into it.
#   symbolic_name      snake_case, unique. A convenience for humans and grep.
#                      The NUMBER is the identity; this is not.
#   status             active | tombstone. A tombstone is a code that was RETIRED
#                      (its condition turned out to be another code's rule seen
#                      from a second position, or the rule was implemented). A
#                      tombstoned row is never deleted and never re-pointed, and
#                      no manifest row may pin one.
#   semantic_condition THE STABLE IDENTITY. The rule sentence. Changing it is
#                      re-pointing the code, which D7 forbids; if the rule
#                      really changed, MINT A NEW CODE and tombstone this one.
#   justification      MUTABLE EVIDENCE: where the rule is enforced, why the
#                      witnesses share one code, what a merge absorbed. file:line
#                      drifts and prose is refined; identity may not, so the two
#                      do not share a column.
#   first_witness      A REFUSAL-witness corpus row (class `reject`, or one of the
#                      two `skip` rows whose refusal is their non-program proof).
#                      `-` for a tombstone: its witnesses belong to the survivor.
#   introduced_commit  The commit that first emitted this code, or `-` while the
#                      row is still in a working tree. The gate accepts `-` or a
#                      commit that is an ANCESTOR OF HEAD, and nothing else —
#                      mere object existence was the earlier predicate and it
#                      accepted every commit of every abandoned branch.
#
# WHY THE TOMBSTONES ARE GUARDED BY TWO FILES AND NOT BY THREE. A review asked
# for a defence against a commit that revives a retired number by editing THIS
# file and `src/errors/codes.rs` together. Declined, deliberately, on this
# repository's own settled precedent: `scripts/thesis-exit.sh:14-21` carries a
# duplicated contract and says of it that "weakening both together is possible
# and is meant to be: it takes an edit to two files in one commit, which is
# exactly the thing a reviewer can see." A reviewed cross-check is a pair of
# independent derivations, not a lock; adding a third copy multiplies the places
# that must agree without adding an authority that is harder to edit. The two
# derivations here are this file and the binary's own `DiagnosticCode::TOMBSTONES`
# (`pdc --dump-diagnostic-codes`), compared by `make check-diagnostic-codes`.
#
# SCOPE TODAY. su1 seeded the two conditions it wired end to end, plus the six
# tombstones the su0 map review retired; su2a appends the ten PARSER-FAMILY
# conditions whose construction sites it wires (the macro token stream, top-level
# initialiser form, `macro_rules!`, return-on-every-path, single-pass expansion,
# macro parameter substitution, and the two lexical refusals). su2b appends the
# fourteen conditions that render as `Expected ..., but found ...`: the grammar
# positions where the parser refuses a token. Their sites were not greppable —
# six of the fourteen have their sentence split across Rust line continuations or
# assembled by `consume()` from a message SHARED with a hundred other callers —
# so each was named by a throwaway marker build (a unique marker per message
# literal, one release build, every witness compiled, markers read, all markers
# reverted before a code was attached; method and readings in the unit's
# scratchpad, `su2b-attribution.tsv`). su3 appends the TYPE-CHECKER family: the
# thirty-eight conditions raised under `src/typeck/`, at fifty-two construction
# sites, so several of these rows are one rule stated in two, three or four
# positions. Two dispositions in this block are worth reading before the rows:
# PD0021 absorbed a second map number that named the same single `Err`, which is
# tombstoned below as PD0064 — allocation in the map, not first emission, is
# what obliges a tombstone, which is why the su0 six are here too — and
# PD0022/PD0046 record the `tests/xfail/alias_*` programs their sites also
# refuse — an over-attribution found by sweeping every `.pd` in the tree against
# the shipping binary, not by reading. The remaining conditions of the locked
# 72-condition map are appended by the later emission slices as their sites are
# wired — a registry row whose code nothing can emit would be a promise, not a
# record.
code	symbolic_name	status	semantic_condition	justification	first_witness	introduced_commit
PD0054	async_value_return_is_not_implemented	active	a `return` with a value inside an `async fn` is not implemented	one predicate over `has_value_return` in `check_function` (src/typeck/mod.rs): the poll function the body is emitted into returns an `int` readiness flag, so there is nowhere to put the value. Its own number rather than PD0018's because the locked map allocated two; the source calls this arm a 'named sub-case' of the general `is_async` refusal, and that tension is recorded in the unit's notes rather than settled by this slice.	tests/reject/async_fn.pd	-
PD0055	loop_and_its_breaks_agree_about_a_value	active	a loop and its `break`s must agree about whether there is a value	TWO POSITIONS, both src/typeck/mod.rs: a bare `break` out of a `loop` used as a value, and a valued `break` out of a loop that is not. The source calls the second 'the mirror of `record_break_value`'s refusal ... both directions of the same rule', which is what retired PD0065 into this code — a symmetric relation whose direction is a formatted particular, like PD0003. Each direction has its own witness.	tests/reject/value_loop_bare_break.pd	-
PD0056	top_level_item_type_is_numeric_or_bool	active	a top-level `const`/`static` may only have a numeric or `bool` type	one `matches!` over the declared type in `register_global` (src/typeck/mod.rs): every other type is built by code that runs, and nothing runs before `main`. `noun` is `const` or `static` and only `const` has a fixture — the `static` spelling is refused earlier, by the parser's constant-initialiser rule (PD0020) — which the locked map records as this code's corpus gap.	tests/reject/const_string_type.pd	-
PD0057	value_if_has_an_else	active	an `if` used as a value must have an `else`, so every path produces one	the `else_branch.is_none()` predicate (src/typeck/mod.rs). Separate from PD0058, which is only REACHABLE once this one is satisfied: two independent obligations with different groundings (a path with no value vs. one hoisted C temporary), which is why the su0 review rejected the merge.	tests/reject/value_if_without_else.pd	-
PD0058	value_if_branches_agree	active	the two branches of a value `if` must have one type	the second predicate of the same arm (src/typeck/mod.rs), reached only after PD0057 has passed: the value lands in ONE hoisted C temporary, which has one declared type.	tests/reject/value_if_branch_types.pd	-
PD0059	range_pattern_endpoints_agree	active	the two endpoints of a range pattern must be the same kind of literal	a predicate over the two endpoint kinds (src/typeck/mod.rs), reached only after PD0072 has established that both are orderable at all. There is no order between a `char` and an `Int`, so `'a'..=9` names no set of values.	tests/reject/range_pattern_mixed_endpoints.pd	-
PD0060	receiver_write_through_needs_mut_self	active	a receiver that is not `&mut self` may not be written through	ONE `Err` guarding `Stmt::Assign` (src/typeck/mod.rs); the `detail` is chosen by the `SelfReceiver` kind — a shared borrow gcc would refuse, or a by-value copy the caller would not observe — which is the PARAMETER of one rule and is what retired PD0061 into this code. The two witnesses are told apart by `msg~` on the detail.	tests/reject/self_write_through_shared_receiver.pd	-
PD0062	top_level_item_is_read_only_unless_static_mut	active	a top-level item is read-only unless it is declared `static mut`	one arm inside the immutable-assignment path, guarded by `global_items` (src/typeck/mod.rs). It exists because the stock advice is 'declare it with `let mut`' and there is no `let` here to add `mut` to — the same reason PD0063 exists beside the stock message.	tests/reject/static_assign_without_mut.pd	-
PD0063	self_is_not_reassignable	active	the `self` binding is not reassignable, whatever form the receiver took	it fires BEFORE the receiver-form test (src/typeck/mod.rs), so it refuses `&mut self` receivers too, which is what makes it a different rule from PD0060 rather than an arm of it. Without it, `self = C { .. }` reached the stock immutable-binding message, which advises `let mut self` — a spelling the parser refuses.	tests/reject/self_is_not_reassignable.pd	-
PD0070	recursive_type_has_no_layout	active	a type that stores itself by value has no layout	one `Err` at the end of the cycle walk (src/typeck/mod.rs). The message has two branches — a cycle through a zero-length array, which is a deliberate exclusion (N4-23), and one with nothing on it that can stop — and only the zero-length branch has a fixture, which the locked map records as this code's corpus gap. Both are this rule; the branch is the reason, not the identity.	tests/reject/zero_length_array_self_reference.pd	-
PD0071	question_operator_is_not_implemented	active	the `?` operator is not implemented	the `Expr::Question` arm of `check_expression` (src/typeck/mod.rs). Code generation refuses `?` a second time from its own arm; the type checker runs first, so that arm is unreachable from the corpus and is a codegen-slice question rather than this one's — measured by a `#[track_caller]` probe, not assumed.	tests/reject/question_mark_operator.pd	-
PD0072	range_pattern_endpoint_kind	active	a range pattern's endpoints are integer or `char` literals, the two kinds this language orders	one loop over the low and high positions (src/typeck/mod.rs), whose `ordered` predicate refuses `Str` and `Bool`. Only `Str` in the low position has a fixture, which the locked map records as this code's corpus gap. PD0059 is the next rule on the same path and is reached only when this one passes.	tests/reject/range_pattern_endpoint_type.pd	-
PD0075	local_binder_may_not_shadow_a_built_in	active	a local binder may not have a built-in's name (N14-02)	one `Err` in `refuse_builtin_shadow` (src/typeck/mod.rs); `what` names five binder kinds and only the parameter has a `.pd` fixture (the other four are covered by unit tests in the same file). The sibling one scope out is PD0019, and the map keeps the two apart for the reason it keeps PD0004 apart from PD0005: shadowing and redeclaring are different rules with different repairs.	tests/reject/shadow_builtin_parameter.pd	-
PD0076	value_block_ends_in_an_expression	active	a block used as a value must end in an expression	one predicate in `check_value_block` (src/typeck/mod.rs): a block whose last statement ends in `;` has no value to hoist into the C temporary the value position needs.	tests/reject/value_block_without_tail.pd	-
PD0064	mut_method_call_through_a_by_value_receiver_spelling	tombstone	a method taking `&mut self` may not be called through a receiver that is not `&mut self`, by-value caller spelling	RETIRED into PD0021 at the su3 attachment: typeck:5538-5541 is ONE `Err` under ONE predicate (`caller_recv != SelfReceiver::MutRef`), and `detail` is chosen by the CALLER's receiver form one match above it — the same 'one Err, detail varies' shape that retired PD0061 into PD0060. The source says so itself: 'BOTH non-mutating forms are refused, by the same predicate as the write rule'. Retired rather than dropped although it was never emitted, because so were the su0 six: the map allocated it, and an allocated number is one a reader can cite.	-	-
